id,loss
4,1826.8709716796875
6,1759.3177490234375
9,3591.278076171875
12,2053.772705078125
15,1759.3177490234375
17,1759.3177490234375
21,1971.4732666015625
28,1782.0916748046875
32,1965.1556396484375
43,2042.1480712890625
46,1726.4073486328125
50,1726.4073486328125
54,1726.4073486328125
62,1759.3177490234375
70,1726.4073486328125
71,1736.141357421875
75,1726.4073486328125
77,1726.4073486328125
81,1726.4073486328125
83,2108.04443359375
87,1856.4451904296875
97,2556.478759765625
103,1759.3177490234375
119,1726.4073486328125
120,1726.4073486328125
127,1726.4073486328125
138,1726.4073486328125
141,1786.49365234375
148,2014.339599609375
150,1726.4073486328125
151,1782.0916748046875
158,1826.8709716796875
160,2450.236328125
165,1759.3177490234375
168,2053.772705078125
169,1726.4073486328125
177,1726.4073486328125
178,2167.39453125
184,1829.4486083984375
194,2751.5
198,1826.8709716796875
203,1782.0916748046875
211,1726.4073486328125
217,1743.83935546875
219,1782.0916748046875
221,1726.4073486328125
227,2836.5087890625
230,2014.339599609375
235,2014.339599609375
240,1743.83935546875
243,1726.4073486328125
249,1743.83935546875
253,1726.4073486328125
258,2108.04443359375
261,1726.4073486328125
263,2171.740966796875
264,1743.83935546875
265,2108.04443359375
268,1743.83935546875
271,2167.39453125
274,1826.8709716796875
275,1726.4073486328125
279,1726.4073486328125
282,2014.339599609375
286,2167.39453125
288,1726.4073486328125
294,1726.4073486328125
296,1782.0916748046875
297,1759.3177490234375
300,1782.0916748046875
303,1726.4073486328125
314,1826.8709716796875
315,3512.191162109375
321,1759.3177490234375
323,2342.896240234375
330,1826.8709716796875
341,1826.8709716796875
342,1829.4486083984375
352,2450.236328125
353,1743.83935546875
360,1726.4073486328125
361,1759.3177490234375
362,1716.4368896484375
366,1726.4073486328125
372,1726.4073486328125
376,2834.96728515625
377,1829.4486083984375
379,1759.3177490234375
380,2751.5
387,1726.4073486328125
392,2342.896240234375
394,2167.39453125
395,1716.4368896484375
397,2658.933837890625
407,1759.3177490234375
411,1743.83935546875
416,1743.83935546875
417,1726.4073486328125
419,1759.3177490234375
428,2014.339599609375
431,2053.772705078125
436,2253.822998046875
438,1728.1810302734375
445,3100.608642578125
446,1759.3177490234375
455,1759.3177490234375
456,1759.3177490234375
461,1726.4073486328125
463,2751.5
464,2014.339599609375
466,1976.5400390625
467,1743.83935546875
470,1726.4073486328125
475,1826.8709716796875
482,1726.4073486328125
490,2658.933837890625
496,1759.3177490234375
497,3005.5771484375
508,1759.3177490234375
510,1743.83935546875
512,2836.5087890625
513,1726.4073486328125
523,1759.3177490234375
531,1716.4368896484375
532,1726.4073486328125
533,1759.3177490234375
537,1782.0916748046875
544,1782.0916748046875
547,1829.4486083984375
556,2521.6181640625
565,1743.83935546875
566,2014.339599609375
571,1782.0916748046875
573,1856.4451904296875
574,1829.4486083984375
581,1782.0916748046875
585,1743.83935546875
589,1759.3177490234375
597,2014.339599609375
601,1786.49365234375
602,1994.575927734375
613,1759.3177490234375
616,1759.3177490234375
619,2053.772705078125
622,1782.0916748046875
623,2053.772705078125
629,1734.4710693359375
634,2014.339599609375
638,2108.04443359375
642,1826.8709716796875
643,1726.4073486328125
645,1743.83935546875
648,1759.3177490234375
652,1759.3177490234375
664,1759.3177490234375
666,1759.3177490234375
672,1759.3177490234375
676,1726.4073486328125
678,1726.4073486328125
682,1826.8709716796875
686,1726.4073486328125
688,1829.4486083984375
689,1756.4150390625
690,1826.8709716796875
692,1759.3177490234375
695,1759.3177490234375
697,1726.4073486328125
698,2106.19140625
706,1826.8709716796875
708,1782.0916748046875
712,1826.8709716796875
715,1829.4486083984375
717,1726.4073486328125
725,1759.3177490234375
729,1743.83935546875
737,1829.4486083984375
739,1759.3177490234375
747,1726.4073486328125
753,1726.4073486328125
758,2658.933837890625
759,1726.4073486328125
763,1782.0916748046875
773,1726.4073486328125
774,1979.0474853515625
776,1759.3177490234375
788,2167.39453125
790,1726.4073486328125
794,2067.3505859375
801,1856.4451904296875
802,1759.3177490234375
805,1726.4073486328125
809,2014.339599609375
812,1759.3177490234375
825,1716.4368896484375
828,1726.4073486328125
830,2014.339599609375
833,2053.772705078125
850,1726.4073486328125
852,1826.8709716796875
862,1726.4073486328125
